Index,Tweet_Link,Author_Handle,Tweet_Content,Views,Likes,Retweets,Replies,Tweet_Creation_Date,Scraped_Date,translated_text
0,https://x.com/Babaronn1330G/status/1990654123180765655,Babaronn1330G,"Adobe製品の不具合はネットワーク接続を切れば問題なく動くっぽいけど、社内サーバ＆ネットワーク入れなかったり、airdropでデータのやり取りが出来なかったりと不便過ぎる…
復旧を何とかお願いしたいわ",330,0,0,0,2025-11-18T05:31:42+00:00,2025-11-24T13:22:46.857565+00:00,"The problem with Adobe products is that they seem to run smoothly if you disconnect the network, but they don't have the internal server and network, or they can't interact with the data on airdrop, and they're too inconvenient."
2,https://x.com/erdyart/status/1706666227316531432,erdyart,"ถ้าใช้ adobe แบบถูกต้อง จะได้ domain จาก 
http://
myportfolio.com เชื่อมกับพอร์ทใน Behance เลยด้วย ใช้เป็นเว็บ official ส่งลูกค้าได้เลย ข้อดีคือ งานจะซิงค์กับ Behance คืออัพที่เดียวมาขึ้นบนเว็บนี้ด้วย+แต่งหน้าเว็บได้นิดหน่อย เคยใช้ช่วงนึงก่อนจะเริ่มมีตังจดโดเมนของตัวเอง",111591,565,622,5,2023-09-26T13:45:11+00:00,2025-11-24T13:22:46.857565+00:00,"If you use Adobe properly, you can get a domain from http://myportfolio.com, you can connect to a port on Behance, you can even use it as an official website, you can send it to your customers."
5,https://x.com/AdobeXD/status/930435413625339904,AdobeXD,"We just rolled out Layout Grid, Design Specs (Beta), JPG export, and more in #AdobeXD. More on what's new: 
https://
adobe.ly/2hzx44H",0,366,169,33,2017-11-14T14:01:03+00:00,2025-11-24T13:22:46.857565+00:00,"We just rolled out Layout Grid, Design Specs (Beta), JPG export, and more in #AdobeXD. More on what's new: 
https://
adobe.ly/2hzx44H"
8,https://x.com/sadloserfaggot/status/1992747496540627192,sadloserfaggot,"The adobe suite is entirely superseded davinci resolve and affinity, both of which are free. The former runs natively on linux and the latter is one specific wine install away",46,0,0,0,2025-11-24T00:10:01+00:00,2025-11-24T13:22:16.953093+00:00,"The adobe suite is entirely superseded davinci resolve and affinity, both of which are free. The former runs natively on linux and the latter is one specific wine install away"
9,https://x.com/Misaki_Akatsuki/status/1992469749855605042,Misaki_Akatsuki,"買うか迷ってる。来年になればスタンダードプランも割引しそうだしなぁ…

Adobe Creative Cloud PRODL版 [Windows＆Macソフト ダウンロード版 販売期間限定：2025年11月28日（金）まで]

https://
yodobashi.com/product/100000
086580113744/
…",252,0,0,0,2025-11-23T05:46:21+00:00,2025-11-24T13:22:16.953093+00:00,"I'm not sure if I'm going to buy it. It looks like they're going to give me a discount on the standard plan next year... Adobe Creative Cloud PRODL version [Windows & Mac software, download version, sale limited: until November 28, 2025] https://yodobashi.com/product/100000 086580113744/ ..."
13,https://x.com/PitmanWorks/status/1991929607415836769,PitmanWorks,"If you want to create stunning visuals for print, web, & social media, the Adobe Creative Cloud Award is the perfect way to upskill

 Adobe Photoshop –edit & enhance images
 Adobe Illustrator – create vector graphics
 Adobe InDesign – design layouts


https://
pitman-training.ie/our-courses/ad
obe-creative-cloud-award/
…",43,0,0,0,2025-11-21T18:00:01+00:00,2025-11-24T13:22:16.953093+00:00,"If you want to create stunning visuals for print, web, & social media, the Adobe Creative Cloud Award is the perfect way to upskill

 Adobe Photoshop –edit & enhance images
 Adobe Illustrator – create vector graphics
 Adobe InDesign – design layouts


https://
pitman-training.ie/our-courses/ad
obe-creative-cloud-award/
…"
14,https://x.com/IanCharlebois/status/1991601844079169555,IanCharlebois,We went adobe can do e sign + edit pdf + video edit same cost so value x 3 imo,42,0,0,0,2025-11-20T20:17:36+00:00,2025-11-24T13:22:16.953093+00:00,We went adobe can do e sign + edit pdf + video edit same cost so value x 3 imo
17,https://x.com/MitsukaHizakura/status/1991511464658760077,MitsukaHizakura,"Adobe ExpressをPCブラウザで操作して、ようやく全体像がわかった。スマホで作業するとよくわからなかったのよ…。
オリジナルテンプレートを作成したので、今度からインスタのリール画像はサクッとできそう。クラウド保存されてるから、使い回しは楽かな。",150,1,0,0,2025-11-20T14:18:28+00:00,2025-11-24T13:22:16.953093+00:00,"I used Adobe Express in a PC browser and finally got the big picture. I didn't know how to work on a phone. I created an original template, so I think I'll be able to save my Instagram reel images from now on. It's stored in the cloud, so it's easy to use."
18,https://x.com/grok/status/1991256622954688835,grok,"Ahoj! Odpovím po bodech:

1a) Adobe Firefly je skvělá volba pro pokročilé edity, ale s Grokem můžeme pokračovat v promptování a generování základů zdarma.

1b) Ano, duálně: skici na iPadu (omezené funkce), dokončení na MacBooku – vše pod jedním účtem.

1c) Předplatné Adobe",46,0,0,1,2025-11-19T21:25:49+00:00,2025-11-24T13:22:16.953093+00:00,"Hello! I'll answer after points: 1a) Adobe Firefly is a great choice for advanced editing, but with Grok, we can continue to prompt and generate basics for free. 1b) Yes, dual: sketching on iPad (limited features), completing on MacBook  all under one account. 1c) Adobe subscriptions"
19,https://x.com/Mikey_Fritz_ZF/status/1991182261471850802,Mikey_Fritz_ZF,"Adobe fällt und fällt und fällt. Das resultiert jedoch nicht aus dem operativen Geschäft, das stark ist. Es ist die Überbewertung, die die Börse immer noch abbaut. Die Baisse kann allerdings schnell enden. Unsere Empfehlung: 
#Aktien #Börse #ZF $ADBE",101,3,0,0,2025-11-19T16:30:20+00:00,2025-11-24T13:22:16.953093+00:00,"Adobe is falling and falling and falling. But that's not because of the operating business, which is strong. It's the overvaluation that's still driving down the stock market. The bearishness can end quickly, though. Our recommendation: #shares #stock #ZF $ADBE"
20,https://x.com/LiveSquawk/status/1991118975149973940,LiveSquawk,"$ADBE | Adobe Nears $1.9 Bln Deal For Software Provider Semrush - 
@WSJ",7315,6,1,0,2025-11-19T12:18:51+00:00,2025-11-24T13:22:16.953093+00:00,Adobe Nears $1.9 Billion Deal for Software Provider Semrush - @WSJ
21,https://x.com/king_of_goffi/status/1990984164435505525,king_of_goffi,"https://
amzn.to/4oRbwgv
amazonブラックフライデーのプレセールでadobe Creative Cloud Proが半額になってるやんけ！
正規で買うより5万円も安いので素敵な写真撮ったり素敵なイラスト描かれる方に届いてくれ〜！",630,2,0,0,2025-11-19T03:23:10+00:00,2025-11-24T13:22:16.953093+00:00,"https://amzn.to/4oRbwgv amazon Black Friday's pre-sale of adobe Creative Cloud Pro is half the price! It's 50,000 yen cheaper than buying it regularly, so reach out to someone who can take beautiful photos or draw beautiful illustrations!"
23,https://x.com/deltaYUN/status/1990900282440536259,deltaYUN,"it might go on sale again for black friday... But yeah, paid version is a huge steal, $300 for a lifetime license when adobe makes you pay yearly",184,2,0,0,2025-11-18T21:49:51+00:00,2025-11-24T13:22:16.953093+00:00,"it might go on sale again for black friday... But yeah, paid version is a huge steal, $300 for a lifetime license when adobe makes you pay yearly"
25,https://x.com/tomogun/status/1990753432966476233,tomogun,カメラマンさんからAdobeもう復旧したとの声が。どうなんだろ。確かに出来てなかったRAW現像が使えるようになった（Bridge2026）,180,3,0,0,2025-11-18T12:06:19+00:00,2025-11-24T13:22:16.953093+00:00,A voice from the cameraman said that Adobe had already restored the RAW image.
26,https://x.com/kusakabe/status/1990737022785409228,kusakabe,現在 Adobe 公式と Amazon で Pro のみ半額セールをしているという状況だった。多くのモバイルアプリも Firefly も使わないなら Standard で十分なのに価格面で Pro の方が安いという有様。これは Standard の安売りはしないかもな。,2891,0,0,1,2025-11-18T11:01:06+00:00,2025-11-24T13:22:16.953093+00:00,"Currently, Adobe officially and Amazon are selling only Pro at half price. If you don't use many mobile apps or Firefly, then Standard is enough, but Pro is cheaper in terms of price. This may not be cheaper than Standard."
27,https://x.com/urbansoul/status/1990586818920903149,urbansoul,"誰かがつぶやいた…
「DaVinci Resolve」ならこんなことにならないよね

というのはさておき
Wifiを切るか、Creative Cloud デスクトップアプリのバージョンを下げましょう

起動後、ネット接続で使えてるとのこと。

#adobe",507,2,1,0,2025-11-18T01:04:15+00:00,2025-11-24T13:22:16.953093+00:00,"Someone tweeted, ""DaVinci Resolve doesn't do this, so you can either turn off the Wi-Fi or download the Creative Cloud desktop app, so you can start it and use it with an Internet connection"". #adobe"
28,https://x.com/akatamagoo/status/1990575537723671020,akatamagoo,"Adobe製品の挙動がおかしい。

InDesign、Illustrator、Photoshop他

全てのバージョンで編集にもたつきあり。cloud問題の様でネットワークを切れば作業できますがストレスです。",571,1,1,1,2025-11-18T00:19:25+00:00,2025-11-24T13:22:16.953093+00:00,"Adobe products behave badly. InDesign, Illustrator, Photoshop, and all the other versions have editing issues."
35,https://x.com/MASAHERO_photo/status/1980114875163820128,MASAHERO_photo,Adobe bridge 最近フリーズする12000枚をバッチでリネームしようと全選択肢右クリックでレインボーカーソルくるくる,173,1,0,1,2025-10-20T03:32:29+00:00,2025-11-24T13:22:16.953093+00:00,"Adobe bridge recently frozen 12,000 copies trying to rename with batch all options right click rainbower sole comes up"
36,https://x.com/ripjyr/status/1979864850684907615,ripjyr,"Security Updates Available for Adobe Bridge | APSB25-96：Adobe Security Bulletin 
→ 
https://
helpx.adobe.com/security/produ
cts/bridge/apsb25-96.html
…",445,1,0,0,2025-10-19T10:58:59+00:00,2025-11-24T13:22:16.953093+00:00,"Security Updates Available for Adobe Bridge | APSB25-96：Adobe Security Bulletin 
→ 
https://
helpx.adobe.com/security/produ
cts/bridge/apsb25-96.html
…"
