Index,_1,_2,_3,Views,Likes,Retweets,Replies,_8,_9,translated_text,is_about_adobe
0,https://x.com/Babaronn1330G/status/1990654123180765655,Babaronn1330G,"Adobe製品の不具合はネットワーク接続を切れば問題なく動くっぽいけど、社内サーバ＆ネットワーク入れなかったり、airdropでデータのやり取りが出来なかったりと不便過ぎる…
復旧を何とかお願いしたいわ",330,0,0,0,2025-11-18T05:31:42+00:00,2025-11-24T13:22:46.857565+00:00,"Adobe's product malfunctions seem to run smoothly when you're disconnected from the network, but they're so uncomfortable when you don't get your internal servers and networks in, or when you don't get your data through airdrop, and I want you to do something to get it back.",True
1,https://x.com/script_network/status/1939400115380211859,script_network,"Since announcing our Adobe Solutions Partnership last week, the effects are already visible:

• Script Network is now listed globally in Adobe’s official Solutions Directory — giving us immediate visibility to thousands of verified agencies and enterprise users.
• We’ve begun",8171,172,16,28,2025-06-29T19:06:34+00:00,2025-11-24T13:22:46.857565+00:00,"Since announcing our Adobe Solutions Partnership last week, the effects are already visible:

• Script Network is now listed globally in Adobe’s official Solutions Directory — giving us immediate visibility to thousands of verified agencies and enterprise users.
• We’ve begun",True
2,https://x.com/erdyart/status/1706666227316531432,erdyart,"ถ้าใช้ adobe แบบถูกต้อง จะได้ domain จาก 
http://
myportfolio.com เชื่อมกับพอร์ทใน Behance เลยด้วย ใช้เป็นเว็บ official ส่งลูกค้าได้เลย ข้อดีคือ งานจะซิงค์กับ Behance คืออัพที่เดียวมาขึ้นบนเว็บนี้ด้วย+แต่งหน้าเว็บได้นิดหน่อย เคยใช้ช่วงนึงก่อนจะเริ่มมีตังจดโดเมนของตัวเอง",111591,565,622,5,2023-09-26T13:45:11+00:00,2025-11-24T13:22:46.857565+00:00,"If you use adobe correctly, you'll get a domain from http://myportfolio.com that connects to a port in Behance, so you can also use it as an official website to send customers.",True
3,https://x.com/Thafnine/status/1628434597154357249,Thafnine,"adobe after effects is a digital visual effects, motion graphics and compositing application developed by adobe inc.",12227,250,11,7,2023-02-22T16:40:37+00:00,2025-11-24T13:22:46.857565+00:00,"adobe after effects is a digital visual effects, motion graphics and compositing application developed by adobe inc.",True
4,https://x.com/AdobeVideo/status/1039863528138715136,AdobeVideo,"At IBC 2018, Adobe is revealing the next major releases of the Adobe video and audio tools, including new features and enhancements: 
https://
adobe.ly/2x6iHZr

#IBC2018 | #PremierePro",0,189,62,4,2018-09-12T13:09:19+00:00,2025-11-24T13:22:46.857565+00:00,"At IBC 2018, Adobe is revealing the next major releases of the Adobe video and audio tools, including new features and enhancements: 
https://
adobe.ly/2x6iHZr

#IBC2018 | #PremierePro",True
5,https://x.com/AdobeXD/status/930435413625339904,AdobeXD,"We just rolled out Layout Grid, Design Specs (Beta), JPG export, and more in #AdobeXD. More on what's new: 
https://
adobe.ly/2hzx44H",0,366,169,33,2017-11-14T14:01:03+00:00,2025-11-24T13:22:46.857565+00:00,"We just rolled out Layout Grid, Design Specs (Beta), JPG export, and more in #AdobeXD. More on what's new: 
https://
adobe.ly/2hzx44H",True
6,https://x.com/AdobeDesign/status/897306883156877313,AdobeDesign,"From sketch to digital to mural, check out how this community art project came to life: 
https://
adobe.ly/2uWYK46",0,233,66,2,2017-08-15T04:00:06+00:00,2025-11-24T13:22:46.857565+00:00,"From sketch to digital to mural, check out how this community art project came to life: 
https://
adobe.ly/2uWYK46",True
7,https://x.com/Photoshop/status/662367236913389568,Photoshop,"Project Comet, Adobe's complete solution for designing & prototyping modern UX is coming. 
http://
adobe.ly/1Mseopt",0,162,98,2,2015-11-05T20:33:50+00:00,2025-11-24T13:22:46.857565+00:00,"Project Comet, Adobe's complete solution for designing & prototyping modern UX is coming. 
http://
adobe.ly/1Mseopt",True
8,https://x.com/sadloserfaggot/status/1992747496540627192,sadloserfaggot,"The adobe suite is entirely superseded davinci resolve and affinity, both of which are free. The former runs natively on linux and the latter is one specific wine install away",46,0,0,0,2025-11-24T00:10:01+00:00,2025-11-24T13:22:16.953093+00:00,"The adobe suite is entirely superseded davinci resolve and affinity, both of which are free. The former runs natively on linux and the latter is one specific wine install away",True
9,https://x.com/Misaki_Akatsuki/status/1992469749855605042,Misaki_Akatsuki,"買うか迷ってる。来年になればスタンダードプランも割引しそうだしなぁ…

Adobe Creative Cloud PRODL版 [Windows＆Macソフト ダウンロード版 販売期間限定：2025年11月28日（金）まで]

https://
yodobashi.com/product/100000
086580113744/
…",252,0,0,0,2025-11-23T05:46:21+00:00,2025-11-24T13:22:16.953093+00:00,"I don't know if I'm going to buy it. I'm going to get a discount on the standard plan next year... Adobe Creative Cloud PRODL version [Windows and Mac software downloaded for sale limited until Friday, November 28, 2025] https://yodobashi.com/product/100000 086580113744/ ...",True
